Product Name,Category,Month,Quantity,Original Price,Discounted Price,Seasonal Availability Flag,Health Tag
Bread,Bakery,April,2,80,70,NA,Junk
Cold Drink,Beverages,April,4,160,150,NA,Junk
Shampoo,Personal Care,April,1,220,200,NA,NA
Apple,Fruits,May,4,240,210,No,Healthy
Mango,Fruits,May,3,300,260,Yes,Healthy
Banana,Fruits,May,6,120,100,Yes,Healthy
Orange,Fruits,May,5,200,180,No,Healthy
Potato,Vegetables,May,5,150,130,No,Healthy
Tomato,Vegetables,May,4,120,95,No,Healthy
Onion,Vegetables,May,3,90,75,Yes,Healthy
Rice,Grains,May,5,300,270,NA,Healthy
Milk,Dairy,May,10,250,230,NA,Healthy
Bread,Bakery,May,2,80,70,NA,Junk
Biscuits,Snacks,May,3,90,85,NA,Junk
Detergent,Cleaning,May,2,220,200,NA,NA
Apple,Fruits,June,4,240,210,No,Healthy
Mango,Fruits,June,3,300,260,No,Healthy
Banana,Fruits,June,6,120,100,Yes,Healthy
Orange,Fruits,June,5,200,180,No,Healthy
Potato,Vegetables,June,5,150,130,No,Healthy
Tomato,Vegetables,June,4,120,95,No,Healthy
Onion,Vegetables,June,3,90,75,Yes,Healthy
Rice,Grains,June,5,300,270,NA,Healthy
Milk,Dairy,June,10,250,230,NA,Healthy
Bread,Bakery,June,2,80,70,NA,Junk
Cold Drink,Beverages,June,4,160,150,NA,Junk
Shampoo,Personal Care,June,1,220,200,NA,NA
Apple,Fruits,July,4,240,210,No,Healthy
Mango,Fruits,July,3,300,260,No,Healthy
Banana,Fruits,July,6,120,100,Yes,Healthy
Orange,Fruits,July,5,200,180,No,Healthy
Potato,Vegetables,July,5,150,130,No,Healthy
Tomato,Vegetables,July,4,120,95,No,Healthy
Onion,Vegetables,July,3,90,75,Yes,Healthy
Rice,Grains,July,5,300,270,NA,Healthy
Milk,Dairy,July,10,250,230,NA,Healthy
Bread,Bakery,July,2,80,70,NA,Junk
Cold Drink,Beverages,July,4,160,150,NA,Junk
Detergent,Cleaning,July,2,220,200,NA,NA
Apple,Fruits,August,4,240,210,No,Healthy
Mango,Fruits,August,3,300,260,No,Healthy
Banana,Fruits,August,6,120,100,Yes,Healthy
Orange,Fruits,August,5,200,180,No,Healthy
Potato,Vegetables,August,5,150,130,No,Healthy
Tomato,Vegetables,August,4,120,95,No,Healthy
Onion,Vegetables,August,3,90,75,Yes,Healthy
Rice,Grains,August,5,300,270,NA,Healthy
Milk,Dairy,August,10,250,230,NA,Healthy
Bread,Bakery,August,2,80,70,NA,Junk
Biscuits,Snacks,August,3,90,85,NA,Junk
Shampoo,Personal Care,August,1,220,200,NA,NA
Apple,Fruits,September,4,240,210,No,Healthy
Mango,Fruits,September,3,300,260,No,Healthy
Banana,Fruits,September,6,120,100,Yes,Healthy
Orange,Fruits,September,5,200,180,No,Healthy
Potato,Vegetables,September,5,150,130,No,Healthy
Tomato,Vegetables,September,4,120,95,No,Healthy
Onion,Vegetables,September,3,90,75,Yes,Healthy
Rice,Grains,September,5,300,270,NA,Healthy
Milk,Dairy,September,10,250,230,NA,Healthy
Bread,Bakery,September,2,80,70,NA,Junk
Cold Drink,Beverages,September,4,160,150,NA,Junk
Detergent,Cleaning,September,2,220,200,NA,NA
Apple,Fruits,October,4,240,210,No,Healthy
Mango,Fruits,October,3,300,260,No,Healthy
Banana,Fruits,October,6,120,100,Yes,Healthy
Orange,Fruits,October,5,200,180,No,Healthy
Potato,Vegetables,October,5,150,130,Yes,Healthy
Tomato,Vegetables,October,4,120,95,No,Healthy
Onion,Vegetables,October,3,90,75,Yes,Healthy
Rice,Grains,October,5,300,270,NA,Healthy
Milk,Dairy,October,10,250,230,NA,Healthy
Bread,Bakery,October,2,80,70,NA,Junk
Biscuits,Snacks,October,3,90,85,NA,Junk
Shampoo,Personal Care,October,1,220,200,NA,NA
Apple,Fruits,November,4,240,210,No,Healthy
Mango,Fruits,November,3,300,260,No,Healthy
Banana,Fruits,November,6,120,100,Yes,Healthy
Orange,Fruits,November,5,200,180,Yes,Healthy
Potato,Vegetables,November,5,150,130,Yes,Healthy
Tomato,Vegetables,November,4,120,95,Yes,Healthy
Onion,Vegetables,November,3,90,75,Yes,Healthy
Rice,Grains,November,5,300,270,NA,Healthy
Milk,Dairy,November,10,250,230,NA,Healthy
Bread,Bakery,November,2,80,70,NA,Junk
Cold Drink,Beverages,November,4,160,150,NA,Junk
Detergent,Cleaning,November,2,220,200,NA,NA
Apple,Fruits,December,4,240,210,Yes,Healthy
Mango,Fruits,December,3,300,260,No,Healthy
Banana,Fruits,December,6,120,100,Yes,Healthy
Orange,Fruits,December,5,200,180,Yes,Healthy
Potato,Vegetables,December,5,150,130,Yes,Healthy
Tomato,Vegetables,December,4,120,95,Yes,Healthy
Onion,Vegetables,December,3,90,75,Yes,Healthy
Rice,Grains,December,5,300,270,NA,Healthy
Milk,Dairy,December,10,250,230,NA,Healthy
Bread,Bakery,December,2,80,70,NA,Junk
Biscuits,Snacks,December,3,90,85,NA,Junk
Shampoo,Personal Care,December,1,220,200,NA,NA
